cui,name,entidad,departamento,provincia,distrito,MONTO_VIABLE,COSTO_ACTUALIZADO,DEFASE_MONTO,estado,avance_fisico_real_soles,avance_inversion_soles,desfase_avance_fis_fin,ejec_fis_program_inicio,ejec_fis_real_inicio,ejec_fis_program_final,ejec_fis_real_final,ano_ejecucion,ubigeo,latitud,longitud
2189420,"CREACION DE PISTAS Y VEREDAS EN EL JR. BOLÍVAR, DISTRITO DE AHUAC, PROVINCIA DE CHUPACA - JUNIN",MUNICIPALIDAD PROVINCIAL DE CHUPACA,JUNIN,CHUPACA,CHUPACA,299996,499616,66.540887211829485,ACTIVO,36971584,35257901.12,-3.4300000000000068,,2023-04-12,,2023-07-12,2023,120902,-12.085027199999955,-75.321071999999958
2241916,"CONSTRUCCION DE  PISTAS  Y  VEREDAS EN  EL CASCO  URBANO  DE LAS  CALLES    DEL  JR. FRANCISCO  SEDANO,  JR.  LIBERTADORES  JR.  FROILAN  ORREGO  Y OTROS, DISTRITO DE TRES DE DICIEMBRE - CHUPACA - JUNIN",MUNICIPALIDAD DISTRITAL DE TRES DE DICIEMBRE,JUNIN,CHUPACA,TRES DE DICIEMBRE,4615976,6826498,47.88850721927497,ACTIVO,681557560.32,673092702.8,-1.2400000000000091,,2022-10-03,,2023-03-31,2023,120908,-12.098069999999963,-75.242039999999974
2214914,"MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE Y DESAGUE  DE LA CIUDAD DE CORONGO, DISTRITO DE CORONGO, PROVINCIA DE CORONGO - ANCASH",MUNICIPALIDAD PROVINCIAL DE CORONGO,ANCASH,CORONGO,CORONGO,9375781,12540539,33.754606682899265,ACTIVO,1062183653.3000001,1063061491.03,0.069999999999993179,,2022-12-02,,2023-10-31,2023,020901,-8.570699369999943,-77.897987999999941
2241389,"CREACION DE PISTAS Y VEREDAS, SECTOR 1, SECTOR 2 Y SECTOR 3, DE LA LOCALIDAD DE CUJILLO, DISTRITO DE CUJILLO - CUTERVO - CAJAMARCA",MUNICIPALIDAD DISTRITAL DE CUJILLO,CAJAMARCA,CUTERVO,CUJILLO,6056611,2572172,-57.531167182439155,ACTIVO,0,3343823.6,1.3,,2023-12-01,,2024-03-30,2024,060604,-6.107565,-78.5739
2241654,MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO DE LA LOCALIDAD LIJADERO DEL DISTRITO DE CUTERVO - PROVINCIA DE CUTERVO - DEPARTAMENTO DE CAJAMARCA,MUNICIPALIDAD PROVINCIAL DE CUTERVO,CAJAMARCA,CUTERVO,CUTERVO,1865041,2650251,42.101487313147537,ACTIVO,0,8719325.790000001,3.29,2019-09-01,2023-12-01,2019-12-01,2024-03-30,2024,060601,-6.378982,-78.81792
2237595,"MEJORAMIENTO DE LA OFERTA DE SERVICIOS EDUCATIVOS DE LA I.E.I. N 819 VILLA TAJO LOCALIDAD YAURI , PROVINCIA DE ESPINAR - CUSCO",MUNICIPALIDAD PROVINCIAL DE ESPINAR,CUSCO,ESPINAR,ESPINAR,1245907,4553420,265.4702959370162,ACTIVO,0,9380045.2000000011,2.06,,2024-04-08,,2024-10-08,2024,080801,-14.793049675821145,-71.41277008115587
2236680,"INSTALACION DEL SISTEMA DE AGUA POTABLE Y DISPOSICION SANITARIA DE EXCRETAS EN EL SECTOR KACHACHI DE  LA COMUNIDAD DE ALTO HUARCA, DISTRITO  Y , PROVINCIA DE ESPINAR - CUSCO",MUNICIPALIDAD PROVINCIAL DE ESPINAR,CUSCO,ESPINAR,ESPINAR,1288845,2584538,100.53132843747696,ACTIVO,15869063.319999998,31324600.56,5.9799999999999995,,2023-09-04,,2024-01-31,2024,080801,-15.008060559073432,-71.354539164241373
2163351,"INSTALACION DE ATAJOS RÚSTICOS PARA LA RECUPERACIÓN  DE  HUMEDAD DE SUELOS  EN  LAS COMUNIDADES DE MORO ALCCASANA Y MAMANOCCA DEL DISTRITO DE PICHIGUA, PROVINCIA DE ESPINAR - CUSCO",MUNICIPALIDAD PROVINCIAL DE ESPINAR,CUSCO,ESPINAR,ESPINAR,3017645,6313809,109.22968076099077,ACTIVO,447080815.29,436221063.81,-1.7199999999999989,,2017-09-14,,2023-08-20,2023,080806,-14.678044829999974,-71.407301759999939
2175571,"MEJORAMIENTO DE LOS SERVICIOS RECREATIVOS DEL CENTRO RECREACIONAL BARRIO UNION KANA EL DISTRITO DE ESPINAR, PROVINCIA DE ESPINAR - CUSCO",MUNICIPALIDAD PROVINCIAL DE ESPINAR,CUSCO,ESPINAR,ESPINAR,713132,2889125,305.13186899480036,ACTIVO,,,,,2023-10-02,,2024-04-04,2024,080801,-14.789878924029386,-71.414809280250623
2145956,"CONSTRUCCION DE LA ALAMEDA, PISTAS Y VEREDAS EN LOS BARRIOS DE UNIDAD VECINAL Y OBRERO DEL DISTRITO DE ESPINAR, PROVINCIA DE ESPINAR - CUSCO",MUNICIPALIDAD PROVINCIAL DE ESPINAR,CUSCO,ESPINAR,ESPINAR,2660232,3595967,35.174939629325564,ACTIVO,0,5681627.86,1.58,,2024-04-01,,2024-09-30,2024,080801,-14.792614,-71.4120255
2177662,"MEJORAMIENTO Y AMPLIACIÓN  DEL SISTEMA DE RIEGO DEL SECTOR TICUYO -PHASÑATIANA, EN LA COMUNIDAD CAMPESINA DE HUAYHUAHUASI DEL DISTRITO DE  COPORAQUE, PROVINCIA DE ESPINAR - CUSCO",MUNICIPALIDAD PROVINCIAL DE ESPINAR,CUSCO,ESPINAR,ESPINAR,2809891,4159069,48.015314473052513,ACTIVO,,,,,2018-09-19,,2023-05-31,2023,080803,-14.67302560593847,-71.53074940065261
2164574,"MEJORAMIENTO DE LOS SERVICIOS EDUCATIVOS DE LA I.E N°56430 DE LA CUMUNIDAD DE PACCOPATA DEL DISTRITO, PROVINCIA DE ESPINAR - CUSCO",MUNICIPALIDAD PROVINCIAL DE ESPINAR,CUSCO,ESPINAR,ESPINAR,799906,1436174,79.542846284438411,ACTIVO,0,2355325.36,1.64,,2024-04-01,,2024-06-30,2024,080801,-14.959641149964595,-71.25460689971078
2080973,"CONSTRUCCION DEL COLISEO MUNICIPAL EN EL DISTRITO, PROVINCIA DE ESPINAR - CUSCO",MUNICIPALIDAD PROVINCIAL DE ESPINAR,CUSCO,ESPINAR,ESPINAR,12558407,21585700,71.882468851343958,ACTIVO,1241177750,1202107633,-1.8100000000000023,,2011-12-07,,2024-01-31,2024,080801,-14.793750011471321,-71.4105911127671
